BFS
Rozmiar;Sredni czas wykonania w mikrosekundach;Nieznaleziono rozwiazania
18;250778;0
DFS
Rozmiar;Sredni czas wykonania w mikrosekundach;Nieznaleziono rozwiazania
18;933470;0
